name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,489240,production,oz,2008,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,631537,production,oz,2009,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,664515,production,oz,2010,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,718617,production,oz,2011,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,718617,production,oz,2012,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,632240.4,production,oz,2013,5.3109351,-1.9924259
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,217932,production,oz,2006,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,180434,production,oz,2007,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,146562,production,oz,2008,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,207824,production,oz,2009,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,202505,production,oz,2010,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,217718,production,oz,2011,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,217718,production,oz,2012,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,153117,production,oz,2013,5.5141878,-1.8634682
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,126707,production,oz,2006,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,125068,production,oz,2007,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,89448,production,oz,2008,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,152679,production,oz,2009,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,177816,production,oz,2010,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,261903,production,oz,2011,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,261903,production,oz,2012,6.26999,-2.31648
Chirano Gold Mines Ltd,109G000038,Gold,Chirano,Western ,36.34,256571,production,oz,2013,6.26999,-2.31648
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,,production,oz,2006,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,456454,production,oz,2007,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,372441,production,oz,2008,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,561447,production,oz,2009,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,532595,production,oz,2010,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,566285,production,oz,2011,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,566285,production,oz,2012,6.97449,-2.37935
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,570202.35,production,oz,2013,6.97449,-2.37935
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,production,oz,2006,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,production,oz,2007,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,production,oz,2008,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,production,oz,2009,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,production,oz,2010,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,production,oz,2011,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,,production,oz,2012,6.33856,-0.99564
Newmont Golden Ridge Ltd,,Gold,Abirem,Eastern Region,62.75,129211,production,oz,2013,6.33856,-0.99564
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,production,oz,2006,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,production,oz,2007,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,production,oz,2008,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,production,oz,2009,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,production,oz,2010,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,production,oz,2011,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,193852,production,oz,2012,5.9602024,-1.8951464
Perseus Mining (Ghana) Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,169367,production,oz,2013,5.9602024,-1.8951464
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49,,production,oz,2006,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49,,production,oz,2007,6.452944,-2.3149591
