project_name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,2480936.0,Royalties,GHS,2007,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,4940817.0,Royalties,GHS,2008,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,6825738.0,Royalties,GHS,2009,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,9070786.0,Royalties,GHS,2010,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,13691446.0,Royalties,GHS,2011,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,15713823.0,Royalties,GHS,2012,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,17235132.0,Royalties,GHS,2013,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,725000.0,Corporate income tax,GHS,2006,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,1578964.0,Corporate income tax,GHS,2007,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Corporate income tax,GHS,2008,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,4945548.0,Corporate income tax,GHS,2009,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,8557346.0,Corporate income tax,GHS,2010,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,56794976.0,Corporate income tax,GHS,2011,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,15623729.0,Corporate income tax,GHS,2012,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,5344374.0,Corporate income tax,GHS,2013,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Ground rent,GHS,2006,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Ground rent,GHS,2007,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Ground rent,GHS,2008,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Ground rent,GHS,2009,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Ground rent,GHS,2010,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Ground rent,GHS,2011,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Ground rent,GHS,2012,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Ground rent,GHS,2013,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Dividend,GHS,2006,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Dividend,GHS,2007,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Dividend,GHS,2008,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Dividend,GHS,2009,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Dividend,GHS,2010,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Dividend,GHS,2011,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Dividend,GHS,2012,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Dividend,GHS,2013,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,27511.0,Property rate,GHS,2006,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,35938.0,Property rate,GHS,2007,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,45375.0,Property rate,GHS,2008,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,55183.0,Property rate,GHS,2009,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,65000.0,Property rate,GHS,2010,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,,Property rate,GHS,2011,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,99893.0,Property rate,GHS,2012,5.2526101,-2.0490137
AngloGold (Iduapriem) Ltd,421G000014,Gold,Iduapriem,Western,31.0,99903.0,Property rate,GHS,2013,5.2526101,-2.0490137
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,851122.0,Royalties,GHS,2006,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,270765.0,Royalties,GHS,2007,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,314320.0,Royalties,GHS,2008,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Royalties,GHS,2009,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Royalties,GHS,2010,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Royalties,GHS,2011,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Royalties,GHS,2012,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Royalties,GHS,2013,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,Corporate income tax,GHS,2006,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,Corporate income tax,GHS,2007,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,        ,Corporate income tax,GHS,2008,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Corporate income tax,GHS,2009,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Corporate income tax,GHS,2010,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Corporate income tax,GHS,2011,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Corporate income tax,GHS,2012,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Corporate income tax,GHS,2013,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,Ground rent,GHS,2006,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,Ground rent,GHS,2007,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,,Ground rent,GHS,2008,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Ground rent,GHS,2009,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Ground rent,GHS,2010,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Ground rent,GHS,2011,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Ground rent,GHS,2012,6.452944,-2.3149591
AngloGold Bibiani (Central African Gold),,Gold,Bibiani,Western ,,NA,Ground rent,GHS,2013,6.452944,-2.3149591
