name,tax_id,commodity,location,region,concession_size,value,value_type,value_unit,year,lat,long
GSR (Prestea/Bogoso) Ltd,621G000008,Gold,Prestea/Bogosu,Western ,271.85,22852965.0,revenue,GHS,2012,5.5171,-2.0644
GSR (Prestea/Bogoso) Ltd,621G000008,Gold,Prestea/Bogosu,Western ,271.85,23472243.0,revenue,GHS,2013,5.5171,-2.0644
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,27025240.0,revenue,GHS,2006,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,26804630.0,revenue,GHS,2007,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,45389394.0,revenue,GHS,2008,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,24201255.0,revenue,GHS,2009,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,137048700.0,revenue,GHS,2010,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,312081944.0,revenue,GHS,2011,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,407078895.0,revenue,GHS,2012,5.3109351,-1.9924259
Gold Fields (Gh) Ltd,565G000001,Gold,Tarkwa,Western,204.22,210641044.0,revenue,GHS,2013,5.3109351,-1.9924259
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,12474388.0,revenue,GHS,2006,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,3408392.0,revenue,GHS,2007,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,6137237.0,revenue,GHS,2008,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,14906661.0,revenue,GHS,2009,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,47400571.0,revenue,GHS,2010,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,71969903.0,revenue,GHS,2011,5.5141878,-1.8634682
Abosso Goldfields (Gh) Ltd (Damang),614G000005,Gold,Damang,Western,53.4,39489624.0,revenue,GHS,2012,5.5141878,-1.8634682
