year,value,series
2004,27000000,Extractive revenues
2005,45000000,Extractive revenues
2006,66000000,Extractive revenues
2007,62000000,Extractive revenues
2008,91000000,Extractive revenues
2009,112000000,Extractive revenues
2010,212000000,Extractive revenues
2011,943000000,Extractive revenues
2012,1161000000,Extractive revenues
2013,1270000000,Extractive revenues
